autonumber,PeriodID,County,SPLocation,SPNo,Date,SampleTime,enterococcus,fecalColiform,PoorResults,advisory,WaterQuality,CollectionTime,Collector,AirTemp,WaterTemp,Weather,RainFall24h,RainFall3d,RainLastWeek,TidalConditionsA,TidalConditionsB,CurrentDirectionA,CurrentDirectionB,CurrentStrength,CommentField,Resample,Updated,enterococcus_code,fecalColiform_code,ec_GeoMean,ec_GeoMean_Code,SPID,Value_Qual,Batch_ID,Analysis_date,Analysis_Time,Lab_ID,Value_Qual_FC,Batch_ID_FC,Analysis_date_FC,Analysis_Time_FC,MDL_EC,MDL_FC,uql,uql_fc,,
5255,17,Sarasota,LIDO CASINO BEACH,3,3/12/01,,26,13,FALSE,FALSE,,,Rosenow,78,70,1,,,0,2,3,2,1,2,"Very choppy water, difficult to tell actual current direction. Fecal coliform is the geometric mean of 3 sample points (North, south and center)",,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
5581,18,Sarasota,LIDO CASINO BEACH,3,3/30/01,,5,10,FALSE,FALSE,,,Rosenow,70,68,2,,,4.1,2,3,4,1,1,Dredging equipment off shore (1 mile). Rough water. Severe storm last night.,,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
5726,19,Sarasota,LIDO CASINO BEACH,3,4/9/01,,13,54,FALSE,FALSE,,,Rosenow,78,75,1,,,0,2,2,,1,2,Fecal coliform is geometric mean of 3 samples. Dredge rig and freighter off shore 1 mile (beach renourishment).,,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
6237,20,Sarasota,LIDO CASINO BEACH,3,4/23/01,,1,4,FALSE,FALSE,,,Rosenow,77,75,1,,,0,2,3,,1,3,"Dredge equipment, including piping on the beach. Water is dirty.",,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
6396,21,Sarasota,LIDO CASINO BEACH,3,5/7/01,,3,10,FALSE,FALSE,,,Rosenow,78,72,1,,,0.3,2,3,,3,3,Fecal coliform is geometric mean of 3 samples. Gulf water is very clear today.,,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
6775,22,Sarasota,LIDO CASINO BEACH,3,5/21/01,,44,4,FALSE,FALSE,,,Rosenow,81,79,1,,,0,2,3,,1,2,Turbid water. Large masses of seaweed on shoreline,,,MODERATE,GOOD,,NA,265,,,,,,,,,,,,,,,
7165,23,Sarasota,LIDO CASINO BEACH,3,6/4/01,,8,10,FALSE,FALSE,,,Rosenow,82,85,1,,,0.8,2,2,,1,2,"Fecal coliform is geometric mean of 3 samples. Shoreline full of seaweed, water turbid.",,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
7473,24,Sarasota,LIDO CASINO BEACH,3,6/18/01,,9,4,FALSE,FALSE,,,Rosenow,84,88,1,,,1.1,2,3,,1,2,,,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
7715,25,Sarasota,LIDO CASINO BEACH,3,7/2/01,,9,14,FALSE,FALSE,,,Rosenow,88,86,1,,,3.5,2,1,,1,3,Fecal Coliform is the geometric mean of 3 samples,,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
8004,26,Sarasota,LIDO CASINO BEACH,3,7/16/01,,13,4,FALSE,FALSE,,,Rosenow,81,84,1,,,4.2,2,1,,1,3,,,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
8591,27,Sarasota,LIDO CASINO BEACH,3,7/30/01,,1,13,FALSE,FALSE,,,Rosenow,85,86,1,,,3.7,2,1,,1,3,Fecal coliform is geometric mean of 3 samples. Water clear.,,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
8845,28,Sarasota,LIDO CASINO BEACH,3,8/13/01,,1,4,FALSE,FALSE,,,Rosenow,85,86,1,,,0.4,1,2,,1,3,,,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
9227,29,Sarasota,LIDO CASINO BEACH,3,8/27/01,,1,10,FALSE,FALSE,,,Rosenow,85,87,1,,,0.5,2,2,,1,3,Fecal coliform is geometric mean of 3 samples. Water was murky..new jet ski rental enterprise is suspect cause.,,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
9597,30,Sarasota,LIDO CASINO BEACH,3,9/17/01,,4,16,FALSE,FALSE,,,Rosenow,87,83,1,,,23.6,2,3,,1,3,"Water clarity fair. T.S. Gabrielle Friday 9/14, severe red tide for last 2 weeks.",,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
9924,31,Sarasota,LIDO CASINO BEACH,3,9/24/01,,1,10,FALSE,FALSE,,,Rosenow,86,86,1,,,0.1,1,2,,1,2,"Fecal coliform is geometric mean of 3 samples.Red tide, dead fish, smelly slimey water",,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
10250,32,Sarasota,LIDO CASINO BEACH,3,10/9/01,,1,4,FALSE,FALSE,,,Rosenow,75,80,1,,,0,1,3,,1,3,Red tide conditions,,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
10581,33,Sarasota,LIDO CASINO BEACH,3,10/24/01,,13,21,FALSE,FALSE,,,Rosenow,84,77,1,,,1.6,1,2,,1,2,Fecal coliform is geometric mean of 3 samples,,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
10821,34,Sarasota,LIDO CASINO BEACH,3,11/5/01,,3,4,FALSE,FALSE,,,Rosenow,71,73,2,,,0,1,2,,2,1,windy and rough,,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
11242,35,Sarasota,LIDO CASINO BEACH,3,11/19/01,,1,16,FALSE,FALSE,,,Rosenow,67,70,1,,,0,1,3,,1,3,"Fecal coliform is geometric mean of 3 samples. Water was beautiful, current was almost dead on.",,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
11411,36,Sarasota,LIDO CASINO BEACH,3,12/3/01,,1,4,FALSE,FALSE,,,Rosenow,75,72,1,,,0,1,3,,2,3,"Calm wind, clear water. Current almost straight on.",,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
11766,37,Sarasota,LIDO CASINO BEACH,3,12/17/01,,3,14,FALSE,FALSE,,,Rosenow,74,75,1,,,0,1,3,,1,1,Fecal coliform is geometric mean of 3 samples.,,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
12098,38,Sarasota,LIDO CASINO BEACH,3,1/2/02,,1,4,FALSE,FALSE,,,Rosenow,61,62,2,,,0.4,1,3,,1,2,Clear water,,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
12518,39,Sarasota,LIDO CASINO BEACH,3,1/15/02,,3,6,FALSE,FALSE,,,Rosenow,65,61,2,,,2.7,2,3,,1,2,Choppy water. Fecal coliform is geometric mean of 3 samples,,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
12707,40,Sarasota,LIDO CASINO BEACH,3,1/28/02,,1,4,FALSE,FALSE,,,Rosenow,76,68,1,,,0.9,1,3,,1,3,,,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
13120,41,Sarasota,LIDO CASINO BEACH,3,2/11/02,,1,4,FALSE,FALSE,,,Rosenow,64,65,2,,,0.8,1,2,,2,2,Water clarity very good. Fecal coliform is geometric mean of 3 samples,,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
13446,42,Sarasota,LIDO CASINO BEACH,3,2/25/02,,2,4,FALSE,FALSE,,,Rosenow,58,63,1,,,3,1,2,,3,3,Water clarity excellent,,,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
13759,43,Sarasota,LIDO CASINO BEACH,3,3/11/02,10:30,17,27,FALSE,FALSE,,,Rosenow,65,63,1,0,0,1,2,2,0,1,2,Fecal coliform is geometric mean of 3 samples. Good water clarity.,,3/19/02 8:25,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
13981,44,Sarasota,LIDO CASINO BEACH,3,3/25/02,9:45,2,4,FALSE,FALSE,,,Rosenow,72,71,1,0,0,0,2,2,,1,2,,,3/29/02 11:35,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
14299,45,Sarasota,LIDO CASINO BEACH,3,4/8/02,11:05,42,12,FALSE,FALSE,,,Rosenow,81,72,1,0,0,0.2,2,2,,1,1,very rough water,,4/12/02 13:49,MODERATE,GOOD,,NA,265,,,,,,,,,,,,,,,
14666,46,Sarasota,LIDO CASINO BEACH,3,4/22/02,9:52,8,12,FALSE,FALSE,,,Rosenow,83,79,1,0,0,1,3,2,,3,3,very clam water,,4/29/02 11:55,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
14913,47,Sarasota,LIDO CASINO BEACH,3,5/6/02,9:35,1,4,FALSE,FALSE,,,Rosenow,79,82,1,0,0,0,2,2,,1,3,,,5/10/02 10:10,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
15202,48,Sarasota,LIDO CASINO BEACH,3,5/20/02,9:30,1,4,FALSE,FALSE,,,Rosenow,68,80,2,1.3,1.4,1.4,2,1,,2,2,A lot of brown seaweed in the water,,5/24/02 9:49,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
15545,49,Sarasota,LIDO CASINO BEACH,3,6/3/02,10:30,1,4,FALSE,FALSE,,,Levy,85,83,1,0,0,0,2,1,,2,3,,,6/7/02 15:00,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
15864,50,Sarasota,LIDO CASINO BEACH,3,6/17/02,9:40,1,4,FALSE,FALSE,,,Rosenow,83,83,2,0.1,0.5,0.5,2,1,,1,1,Rough and choppy water.,,6/21/02 13:33,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
16206,51,Sarasota,LIDO CASINO BEACH,3,7/1/02,10:00,1,4,FALSE,FALSE,,,Rosenow,82,84,1,0.8,1.8,1.8,1,3,,1,3,Water clarity excellent,,7/8/02 13:00,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
16537,52,Sarasota,LIDO CASINO BEACH,3,7/15/02,10:05,1,4,FALSE,FALSE,,,Rosenow,84,83,1,2,3.7,5.2,1,3,,2,3,Slight red tide odor,,7/22/02 11:10,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
16733,53,Sarasota,LIDO CASINO BEACH,3,7/29/02,10:15,8,4,FALSE,FALSE,,,Levy,87,87,1,0,0.2,0.4,3,3,,3,3,"Very choppy, seaweed, some odor",,8/1/02 13:15,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
17069,54,Sarasota,LIDO CASINO BEACH,4,8/12/02,10:00,12,48,FALSE,FALSE,,,Rosenow,87,87,1,0,2,2.15,2,1,,2,2,,,8/12/02 8:06,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
17501,55,Sarasota,LIDO CASINO BEACH,4,8/12/02,10:05,4,3,FALSE,FALSE,,,Rosenow,77,83,2,0.6,0.6,0.8,1,3,,1,3,Excellent water clarity,,8/18/02 8:59,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
17712,56,Sarasota,LIDO CASINO BEACH,4,8/19/02,9:15,88,3,FALSE,FALSE,,,ROSENOW,87,85,1,0,0.34,2.3,2,1,,1,3,,,8/22/02 13:55,MODERATE,GOOD,,NA,265,,,,,,,,,,,,,,,
18038,57,Sarasota,LIDO CASINO BEACH,4,8/26/02,10:10,1,3,FALSE,FALSE,,,Rosenow,88,86,2,0,0.2,2.7,1,3,,2,2,"Moderate chop, murky water and large amount of brown seaweed.",,8/29/02 9:02,GOOD,GOOD,,NA,265,,,,,,,,,,,,,,,
18449,58,Sarasota,LIDO CASINO BEACH,4,9/3/02,9:55,17,56,FALSE,FALSE,,,ROSENOW,80,85,1,0,1.6,9.1,2,1,,1,2,MEDIUM CLARITY,,9/19/02 14:53,GOOD,GOOD,9,Good,265,,,,,,,,,,,,,,,
18617,59,Sarasota,LIDO CASINO BEACH,4,9/9/02,10:05,1,8,FALSE,FALSE,,,Rosenow,85,83,1,0.2,0.4,1,1,3,,1,2,"Water clarity excellent, seaweed present.",,9/19/02 14:48,GOOD,GOOD,7,Good,265,,,,,,,,,,,,,,,
18996,60,Sarasota,LIDO CASINO BEACH,4,9/16/02,9:55,3,28,FALSE,FALSE,,,Rosenow,85,84,1,0,0,4.5,2,1,,1,2,"Dark brown water, seaweed in surf. Odor left on hands after sampling.",,9/19/02 14:14,GOOD,GOOD,5,Good,265,,,,,,,,,,,,,,,
19345,61,Sarasota,LIDO CASINO BEACH,4,9/23/02,9:30,3,3,FALSE,FALSE,,,Rosenow,85,83,2,0.4,0.4,0.5,1,3,,1,1,"Surf very strong, difficult collecting sample free of sand.",,9/26/02 12:59,GOOD,GOOD,3,Good,265,,,,,,,,,,,,,,,
19634,62,Sarasota,LIDO CASINO BEACH,4,9/30/02,9:45,1,28,FALSE,FALSE,,,Rosenow,83,84,1,0,0.2,1.6,2,1,,1,3,Water clarity excellent,,10/3/02 8:18,GOOD,GOOD,3,Good,265,,,,,,,,,,,,,,,
19944,63,Sarasota,LIDO CASINO BEACH,4,10/7/02,9:55,2,28,FALSE,FALSE,,,Rosenow,80,81,2,0,0,0.5,1,3,,1,3,Water clarity fair,,10/10/02 10:30,GOOD,GOOD,2,Good,265,,,,,,,,,,,,,,,
20265,64,Sarasota,LIDO CASINO BEACH,4,10/14/02,10:20,2,8,FALSE,FALSE,,,Rosenow,80,83,1,0.1,0.6,1.1,1,1,,1,3,Water clarity very good. Seaweed on shore. Many swimmers in water.,,11/7/02 12:18,GOOD,GOOD,2,Good,265,,,,,,,,,,,,,,,
20585,65,Sarasota,LIDO CASINO BEACH,4,10/21/02,10:15,53,204,FALSE,FALSE,,,Yantorno,80,78,1,0,0,0.6,2,3,,1,2,"Water clarity poor, huge amounts of bird dander and feathers floating on water surface. Many seabirds standing on shoreline.",,10/24/02 13:04,MODERATE,MODERATE,4,Good,265,,,,,,,,,,,,,,,
20862,66,Sarasota,LIDO CASINO BEACH,4,10/28/02,10:11,1,4,FALSE,FALSE,,,Rosenow,85,82,1,0,0,0,1,3,,1,2,Good water clarity,,11/7/02 11:33,GOOD,GOOD,3,Good,265,,,,,,,,,,,,,,,
21209,67,Sarasota,LIDO CASINO BEACH,4,11/4/02,10:05,1,3,FALSE,FALSE,,,Rosenow,75,74,1,0,0,0.3,1,3,,1,2,Choppy and windy,,11/7/02 10:43,GOOD,GOOD,3,Good,265,,,,,,,,,,,,,,,
21571,68,Sarasota,LIDO CASINO BEACH,4,11/11/02,9:45,1,16,FALSE,FALSE,,,Rosenow,80,77,1,0,0,0,1,3,,2,2,Moderate chop,,11/15/02 9:36,GOOD,GOOD,3,Good,265,,,,,,,,,,,,,,,
21902,69,Sarasota,LIDO CASINO BEACH,4,11/18/02,9:45,1,4,FALSE,FALSE,,,Rosenow,60,63,1,1.1,3.5,4.6,2,1,,2,1,Windy and cold,,11/22/02 8:10,GOOD,GOOD,2,Good,265,,,,,,,,,,,,,,,
22097,70,Sarasota,LIDO CASINO BEACH,4,11/25/02,9:50,1,24,FALSE,FALSE,,,Rosenow,70,65,1,0,0,1.1,1,3,,2,3,Calm and clear,,11/27/02 8:10,GOOD,GOOD,1,Good,265,,,,,,,,,,,,,,,
22432,71,Sarasota,LIDO CASINO BEACH,4,12/2/02,9:50,1,3,FALSE,FALSE,,,Rosenow,65,64,1,0,0,0,2,1,,2,2,,,12/5/02 9:14,GOOD,GOOD,1,Good,265,,,,,,,,,,,,,,,
22816,72,Sarasota,LIDO CASINO BEACH,4,12/10/02,10:05,16,40,FALSE,FALSE,,,Rosenow,70,65,2,3.2,3.2,3.9,1,3,,1,2,,,12/12/02 15:35,GOOD,GOOD,2,Good,265,,,,,,,,,,,,,,,
23155,73,Sarasota,LIDO CASINO BEACH,4,12/16/02,10:10,6,3,FALSE,FALSE,,,Rosenow,58,67,1,0,1.2,4.5,2,1,,2,2,Light chop,,12/20/02 8:18,GOOD,GOOD,2,Good,265,,,,,,,,,,,,,,,
23478,74,Sarasota,LIDO CASINO BEACH,4,12/23/02,10:00,25,4,FALSE,FALSE,,,Rosenow,68,64,1,0,0.8,0.8,2,3,,1,3,,,12/27/02 9:56,GOOD,GOOD,4.74,Good,265,,,,,,,,,,,,,,,
23772,75,Sarasota,LIDO CASINO BEACH,4,12/30/02,10:10,1,8,FALSE,FALSE,,,Rosenow,55,62,1,0,0,1.8,2,1,,1,2,A loader and dredge pump are present,,1/24/03 11:21,GOOD,GOOD,4.74,Good,265,,,,,,,,,,,,,,,
24016,76,Sarasota,LIDO CASINO BEACH,4,1/6/03,10:07,28,52,FALSE,FALSE,,,Rosenow,56,61,1,0,0,3,1,3,,1,3,Dredging operation in progress. Horrible looking water; brown with floating scum,,1/9/03 13:39,GOOD,GOOD,9.24,Good,265,,,,,,,,,,,,,,,
24397,77,Sarasota,LIDO CASINO BEACH,4,1/13/03,10:05,3,3,FALSE,FALSE,,,Rosenow,59,61,2,0,0,0,2,3,,1,3,Dredging project in progress,,1/16/03 13:19,GOOD,GOOD,6.61,Good,265,,,,,,,,,,,,,,,
24722,78,Sarasota,LIDO CASINO BEACH,4,1/21/03,10:15,4,24,FALSE,FALSE,,,Rosenow,62,59,1,0,0,0,3,3,,1,2,Dredge project in process,,1/24/03 8:26,GOOD,GOOD,6.09,Good,265,,,,,,,,,,,,,,,
25040,79,Sarasota,LIDO CASINO BEACH,4,1/27/03,10:25,1,3,FALSE,FALSE,,,Rosenow,55,55,1,0,0,0,3,2,,2,2,"Dredging project, cloudy water",,1/31/03 8:59,GOOD,GOOD,3.2,Good,265,,,,,,,,,,,,,,,
25186,80,Sarasota,LIDO CASINO BEACH,4,2/3/03,10:05,1,3,FALSE,FALSE,,,Rosenow,63,57,1,0,0,0,3,3,,1,3,Dredging project coming to an end. Water is clearing up.,,2/6/03 8:49,GOOD,GOOD,3.2,Good,265,,,,,,,,,,,,,,,
25709,81,Sarasota,LIDO CASINO BEACH,4,2/11/03,9:45,6,24,FALSE,FALSE,,,Branson,60,60,1,0.5,0.64,0.8,2,2,,2,3,water clarity poor,,2/14/03 15:47,GOOD,GOOD,2.35,Good,265,,,,,,,,,,,,,,,
25941,82,Sarasota,LIDO CASINO BEACH,4,2/17/03,9:45,29,72,FALSE,FALSE,,,Rosenow,67,65,2,0.6,0.6,0.6,3,3,,1,2,rough water,,2/20/03 13:07,GOOD,GOOD,3.7,Good,265,,,,,,,,,,,,,,,
26300,83,Sarasota,LIDO CASINO BEACH,4,2/25/03,9:45,2,3,FALSE,FALSE,,,Branson,69,62,2,0,0.66,0.88,2,2,,2,3,Water clarity good,,2/28/03 9:48,GOOD,GOOD,3.22,Good,265,,,,,,,,,,,,,,,
26581,84,Sarasota,LIDO CASINO BEACH,4,3/4/03,9:50,7,8,FALSE,FALSE,,,Branson,69,68,2,0.05,0.21,0.64,2,2,,3,3,,,7/24/03 12:05,GOOD,GOOD,4.76,Good,265,,,,,,,,,,,,,,,
26962,85,Sarasota,LIDO CASINO BEACH,4,3/11/03,9:35,1,3,FALSE,FALSE,,,Branson,72,77,1,0,0.34,0.34,2,2,,3,3,Water clarity good,,5/1/03 15:40,GOOD,GOOD,4.76,Good,265,,,,,,,,,,,,,,,
27131,86,Sarasota,LIDO CASINO BEACH,4,3/18/03,10:55,15,16,FALSE,FALSE,,,Branson,76,75,1,0.46,1.74,1.74,2,2,,3,3,Water clarity good,,5/1/03 15:37,GOOD,GOOD,5.71,Good,265,,,,,,,,,,,,,,,
27725,87,Sarasota,LIDO CASINO BEACH,4,3/25/03,9:40,14,4,FALSE,FALSE,,,Branson,75,73,1,0,0.8,2.4,2,2,,3,3,Good water clarity,,5/1/03 15:32,GOOD,GOOD,4.94,Good,265,,,,,,,,,,,,,,,
27859,88,Sarasota,LIDO CASINO BEACH,4,4/1/03,9:35,3,3,FALSE,FALSE,,,Branson,65,74,1,0,0.24,0.35,2,2,,3,3,Water clarity good,,5/1/03 15:27,GOOD,GOOD,5.36,Good,265,,,,,,,,,,,,,,,
28256,89,Sarasota,LIDO CASINO BEACH,4,4/8/03,9:55,10,48,FALSE,FALSE,,,Branson,76,81,1,0.25,0.25,0.25,2,1,,1,2,Water clarity good. Beach is fairly crowded. Many birds near shoreline,,4/10/03 9:51,GOOD,GOOD,5.75,Good,265,,,,,,,,,,,,,,,
28650,90,Sarasota,LIDO CASINO BEACH,4,4/14/03,9:40,1,3,FALSE,FALSE,,,Branson,70,80,1,0,0,0.25,2,2,,3,2,Water clarity good,,5/1/03 15:23,GOOD,GOOD,5.75,Good,265,,,,,,,,,,,,,,,
28793,91,Sarasota,LIDO CASINO BEACH,4,4/22/03,11:05,14,56,FALSE,FALSE,,,Branson,80,78,1,0,0,0,2,2,,2,2,Water clarity good,,4/24/03 12:15,GOOD,GOOD,5.67,Good,265,,,,,,,,,,,,,,,
29251,92,Sarasota,LIDO CASINO BEACH,4,4/28/03,9:50,7,3,FALSE,FALSE,,,Branson,82,76,2,0,3.2,3.2,2,2,,3,2,"No swimmers, a few people walking beach.",,5/1/03 14:50,GOOD,GOOD,4.94,Good,265,,,,,,,,,,,,,,,
29530,93,Sarasota,LIDO CASINO BEACH,4,5/6/03,10:35,9,28,FALSE,FALSE,,,Branson,80,81,1,0,0,0.7,2,2,,3,1,"Choppy water, 10-12 swimmers",,5/29/03 13:02,GOOD,GOOD,6.15,Good,265,,,,,,,,,,,,,,,
29885,94,Sarasota,LIDO CASINO BEACH,4,5/13/03,9:45,24,16,FALSE,FALSE,,,Branson,83,85,2,0,0,0,2,2,,3,2,Water clarity good,,5/16/03 14:25,GOOD,GOOD,7.33,Good,265,,,,,,,,,,,,,,,
30136,95,Sarasota,LIDO CASINO BEACH,4,5/20/03,9:40,5,3,FALSE,FALSE,,,Branson,83,85,1,0,0,0,2,2,,3,3,Water clarity good,,5/22/03 8:24,GOOD,GOOD,10.11,Good,265,,,,,,,,,,,,,,,
30473,96,Sarasota,LIDO CASINO BEACH,4,5/27/03,11:00,20,36,FALSE,FALSE,,,Rosenow,85,85,1,0,0,1.5,2,2,,1,3,Water clarity fair,,5/29/03 13:22,GOOD,GOOD,10.86,Good,265,,,,,,,,,,,,,,,
30753,97,Sarasota,LIDO CASINO BEACH,4,6/3/03,9:45,2,3,FALSE,FALSE,,,Branson,79,84,1,0,0,0,2,2,,3,2,Water clarity good. A few swimmers,,6/5/03 12:09,GOOD,GOOD,8.45,Good,265,,,,,,,,,,,,,,,
31054,98,Sarasota,LIDO CASINO BEACH,4,6/10/03,9:45,2,3,FALSE,FALSE,,,Branson,82,86,2,0,0.1,0.1,3,1,,3,2,Water clarity good,,6/12/03 14:07,GOOD,GOOD,6.26,Good,265,,,,,,,,,,,,,,,
31406,99,Sarasota,LIDO CASINO BEACH,4,6/17/03,9:40,1,8,FALSE,FALSE,,,Branson,81,85,2,1.4,1.7,1.7,2,2,,3,2,Water clarity good,,6/19/03 12:02,GOOD,GOOD,3.31,Good,265,,,,,,,,,,,,,,,
31736,100,Sarasota,LIDO CASINO BEACH,4,6/23/03,10:50,1,3,FALSE,FALSE,,,Branson,83,86,2,4.3,10.9,15.2,2,2,,3,2,Water clarity fair. heavy rains all week.,,6/26/03 14:02,GOOD,GOOD,2.4,Good,265,,,,,,,,,,,,,,,
