autonumber,PeriodID,County,SPLocation,SPNo,Date,SampleTime,enterococcus,fecalColiform,PoorResults,advisory,WaterQuality,CollectionTime,Collector,AirTemp,WaterTemp,Weather,RainFall24h,RainFall3d,RainLastWeek,TidalConditionsA,TidalConditionsB,CurrentDirectionA,CurrentDirectionB,CurrentStrength,CommentField,Resample,Updated,enterococcus_code,fecalColiform_code,ec_GeoMean,ec_GeoMean_Code,SPID,Value_Qual,Batch_ID,Analysis_date,Analysis_Time,Lab_ID,Value_Qual_FC,Batch_ID_FC,Analysis_date_FC,Analysis_Time_FC,MDL_EC,MDL_FC,uql,uql_fc
4083,13,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,1/16/01,,10,10,FALSE,FALSE,,,t larkin,70,61,1,,,0,1,3,1,3,3,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
4451,14,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,1/30/01,,10,10,FALSE,FALSE,,,t larkin,66,60,2,,,0,1,3,2,1,2,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
4686,15,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,2/13/01,,10,10,FALSE,FALSE,,,t larkin,80,68,1,,,0,1,3,1,,,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
4974,16,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,2/27/01,,20,10,FALSE,FALSE,,,t larkin,80,72,1,,,0,2,3,1,,,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
5320,17,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,3/13/01,,10,10,FALSE,FALSE,,,t larkin,71,70,2,,,0.1,2,2,2,1,1,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
5625,18,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,3/27/01,,10,10,FALSE,FALSE,,,t larkin,72,68,1,,,0.4,2,3,,2,3,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
5900,19,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,4/10/01,,10,10,FALSE,FALSE,,,t larkin,78,75,1,,,0.8,2,2,,2,3,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
6052,20,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,4/24/01,,10,10,FALSE,FALSE,,,,78,76,1,,,0,2,2,,1,3,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
6292,21,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,5/7/01,,10,10,FALSE,FALSE,,,t larkin,74,76,1,,,0.9,2,3,,1,3,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
6851,22,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,5/21/01,,10,10,FALSE,FALSE,,,t larkin,86,80,1,,,0,2,1,,1,3,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
7255,23,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,6/5/01,,10,10,FALSE,FALSE,,,t larkin,82,86,1,,,2.4,2,1,,1,2,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
7502,24,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,6/19/01,,10,10,FALSE,FALSE,,,k kimes,92,90,1,,,0,2,1,,3,3,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
7927,25,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,7/2/01,,10,10,FALSE,FALSE,,,t larkin,88,85,,,,11,2,1,,1,3,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
8237,26,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,7/16/01,,10,10,FALSE,FALSE,,,t larkin,81,82,2,,,6.6,2,1,,3,3,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
8504,27,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,7/31/01,,10,10,FALSE,FALSE,,,t larkin,83,85,2,,,0.3,2,1,,3,3,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
8871,28,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,8/14/01,,10,10,FALSE,FALSE,,,t larkin,85,86,1,,,0.1,2,1,,3,3,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
9248,29,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,8/28/01,,10,10,FALSE,FALSE,,,t larkin,85,88,1,,,0.3,2,1,,3,3,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
9618,30,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,9/11/01,,10,10,FALSE,FALSE,,,t larkin,84,84,1,,,0.1,1,2,,1,3,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
9975,31,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,9/25/01,,10,10,FALSE,FALSE,,,t larkin,81,82,2,,,0.1,1,2,,3,3,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
10227,32,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,10/9/01,,10,10,FALSE,FALSE,,,t larkin,78,79,1,,,0,1,3,,3,3,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
10611,33,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,10/22/01,,10,10,FALSE,FALSE,,,t larkin,77,75,2,,,1.2,1,3,,3,3,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
10941,34,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,11/5/01,,10,10,FALSE,FALSE,,,t larkin,70,70,2,,,0,1,3,,3,3,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
11222,35,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,11/20/01,,10,10,FALSE,FALSE,,,t larkin,71,70,1,,,0,1,3,,3,3,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
11488,36,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,12/4/01,,30,10,FALSE,FALSE,,,t larkin,75,72,1,,,0,1,3,,3,3,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
11844,37,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,12/18/01,,10,10,FALSE,FALSE,,,t larkin,70,76,1,,,0.3,2,3,,3,3,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
12183,38,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,1/2/02,,10,10,FALSE,FALSE,,,t larkin,61,61,2,,,0,1,3,,3,3,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
12514,39,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,1/15/02,,30,20,FALSE,FALSE,,,t larkin,67,62,1,,,1.1,1,3,,3,3,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
12764,40,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,1/29/02,,10,10,FALSE,FALSE,,,t larkin,81,72,1,,,0,2,3,,3,3,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
13252,41,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,2/12/02,,10,10,FALSE,FALSE,,,t larkin,63,64,2,,,0.9,2,3,,3,3,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
13486,42,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,2/25/02,,10,10,FALSE,FALSE,,,t larkin,62,62,1,,,2.4,2,3,,3,3,,,,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
13788,43,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,3/12/02,8:46,10,10,FALSE,FALSE,,,t larkin,68,64,1,0.1,0.1,0.4,2,3,0,1,3,,,3/19/02 16:35,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
14102,44,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,3/26/02,8:52,10,10,FALSE,FALSE,,,t larkin,72,72,1,0,0,0,2,3,,1,3,,,4/5/02 16:27,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
14405,45,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,4/9/02,10:22,10,10,FALSE,FALSE,,,t larkin,76,71,1,0,0,0.1,2,1,,1,1,,,4/18/02 15:10,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
14722,46,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,4/23/02,9:31,10,10,FALSE,FALSE,,,t larkin,77,78,2,0,0,0.4,2,1,,2,2,,,5/1/02 16:16,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
15014,47,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,5/7/02,9:35,10,10,FALSE,FALSE,,,t larkin,77,86,1,0,0,0,2,1,,1,3,,,5/15/02 16:58,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
15313,48,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,5/21/02,8:54,10,10,FALSE,FALSE,,,t larkin,68,74,1,0,0.9,0.9,2,2,,2,3,,,5/30/02 16:43,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
15661,49,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,6/4/02,9:12,10,10,FALSE,FALSE,,,t larkin,81,82,2,0,0,0,2,1,,3,3,,,6/14/02 16:05,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
15951,50,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,6/18/02,7:28,10,10,FALSE,FALSE,,,t larkin,76,80,3,1.4,1.6,1.6,2,1,,1,1,,,6/27/02 10:32,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
16106,51,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,7/2/02,9:20,10,10,FALSE,FALSE,,,t larkin,76,82,1,0.9,1.4,1.4,1,2,,3,3,,,7/3/02 16:20,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
16476,52,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,7/16/02,8:55,1,10,FALSE,FALSE,,,t larkin,81,82,2,0,0.5,4.2,1,2,,3,3,,,7/19/02 12:51,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
16820,53,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,7/30/02,9:04,1,10,FALSE,FALSE,,,t larkin,83,84,1,0.1,0.2,0.4,1,2,,3,3,,,8/2/02 12:10,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
17093,54,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,8/6/02,9:04,9,9,FALSE,FALSE,,,t larkin,84,86,1,0,0.46,2.01,2,1,,3,3,,,8/13/02 15:22,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
17405,55,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,8/13/02,9:17,10,1,FALSE,FALSE,,,t larkin,78,82,2,0.6,0.77,0.93,1,1,,3,3,,,8/16/02 14:25,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
17749,56,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,8/20/02,9:10,9,9,FALSE,FALSE,,,t larkin,78,85,1,0,0.08,1.1,2,1,,3,3,,,8/22/02 15:42,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
18071,57,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,8/27/02,9:50,1,1,FALSE,FALSE,,,t larkin,78,85,2,0.06,0.07,4.68,1,2,,3,3,,,9/20/02 11:18,GOOD,GOOD,,NA,161,,,,,,,,,,,,,
18474,58,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,9/3/02,8:55,50,20,FALSE,FALSE,,,t larkin,84,85,1,0,0,3.24,2,1,,3,3,,,9/20/02 11:16,MODERATE,GOOD,8,Good,161,,,,,,,,,,,,,
18592,59,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,9/9/02,9:36,1,1,FALSE,FALSE,,,t larkin,84,85,1,0,0.23,0.23,2,3,,1,3,,,9/20/02 11:14,GOOD,GOOD,5,Good,161,,,,,,,,,,,,,
19042,60,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,9/16/02,9:20,9,9,FALSE,FALSE,,,t larkin,82,82,1,0,0.03,1.26,1,1,,3,3,,,9/20/02 11:12,GOOD,GOOD,5,Good,161,,,,,,,,,,,,,
19453,61,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,9/23/02,11:15,9,10,FALSE,FALSE,,,t manning,88,84,1,0.39,0.39,0.62,1,2,,1,1,,,9/27/02 16:14,GOOD,GOOD,5,Good,161,,,,,,,,,,,,,
19702,62,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,10/1/02,9:06,10,150,FALSE,FALSE,,,t larkin,83,84,1,0,0,0.23,1,1,,3,3,,,10/3/02 14:53,GOOD,GOOD,8,Good,161,,,,,,,,,,,,,
19913,63,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,10/8/02,9:26,1,1,FALSE,FALSE,,,t larkin,81,82,1,0,0,0,1,3,,3,3,,,10/9/02 17:15,GOOD,GOOD,4,Good,161,,,,,,,,,,,,,
20370,64,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,10/15/02,9:52,60,160,FALSE,FALSE,,,t larkin,82,81,1,0.14,0.36,0.36,1,1,,3,3,,,10/18/02 13:11,MODERATE,GOOD,9,Good,161,,,,,,,,,,,,,
20573,65,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,10/21/02,9:42,9,9,FALSE,FALSE,,,t larkin,78,77,1,0,0,0.52,2,3,,3,3,,,10/24/02 9:31,GOOD,GOOD,9,Good,161,,,,,,,,,,,,,
20844,66,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,10/28/02,9:17,10,9,FALSE,FALSE,,,t larkin,80,79,1,0,0,0,1,3,,3,3,,,10/30/02 17:39,GOOD,GOOD,9,Good,161,,,,,,,,,,,,,
21178,67,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,11/4/02,10:35,9,9,FALSE,FALSE,,,t manning,80,76,1,0,0.1,0.6,2,2,,1,2,,,11/7/02 8:44,GOOD,GOOD,9,Good,161,,,,,,,,,,,,,
21649,68,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,11/12/02,10:29,10,9,FALSE,FALSE,,,t manning,82,77,1,0.01,0.01,0.08,1,2,,2,2,,,11/17/02 7:40,GOOD,GOOD,14,Good,161,,,,,,,,,,,,,
21886,69,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,11/18/02,9:57,9,9,FALSE,FALSE,,,Tim manning,56,66,1,0.44,3.52,5.24,2,3,,2,3,windy (off shore),,11/21/02 17:16,GOOD,GOOD,9,Good,161,,,,,,,,,,,,,
22227,70,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,11/25/02,9:43,9,10,FALSE,FALSE,,,t manning,60,66,1,0,0,0,2,3,,3,3,,,11/29/02 9:05,GOOD,GOOD,9,Good,161,,,,,,,,,,,,,
22531,71,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,12/2/02,9:57,9,9,FALSE,FALSE,,,Tim Manning,54,60,1,0,0.01,0.01,2,2,,2,3,,,12/5/02 16:22,GOOD,GOOD,9,Good,161,,,,,,,,,,,,,
22811,72,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,12/9/02,9:41,9,9,FALSE,FALSE,,,t manning,66,66,2,0.15,0.15,0.51,1,3,,3,3,,,12/12/02 15:59,GOOD,GOOD,9,Good,161,,,,,,,,,,,,,
23188,73,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,12/16/02,9:43,9,9,FALSE,FALSE,,,t manning,52,62,1,0,2.04,6.3,2,2,,2,3,,,12/20/02 8:52,GOOD,GOOD,9,Good,161,,,,,,,,,,,,,
23285,74,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,12/23/02,9:49,9,9,FALSE,FALSE,,,t manning,60,64,1,0,1.34,1.35,1,3,,3,3,,,12/24/02 15:30,GOOD,GOOD,9,Good,161,,,,,,,,,,,,,
23618,75,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,12/30/02,9:12,10,9,FALSE,FALSE,,,t larkin,57,58,1,0,0,3.29,2,2,,3,3,,,12/31/02 14:31,GOOD,GOOD,9.19,Good,161,,,,,,,,,,,,,
23938,76,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,1/6/03,9:40,30,9,FALSE,FALSE,,,t larkin,61,59,1,0,0.01,6.3,1,3,,3,3,,,1/7/03 16:58,GOOD,GOOD,11.69,Good,161,,,,,,,,,,,,,
24267,77,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,1/13/03,10:12,9,9,FALSE,FALSE,,,T Larkin,53,57,2,0,0.03,0.04,2,2,,3,3,,,1/15/03 9:29,GOOD,GOOD,11.69,Good,161,,,,,,,,,,,,,
24629,78,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,1/21/03,9:54,9,9,FALSE,FALSE,,,T Larkin,63,55,1,0,0,0.03,1,3,,3,3,,,1/23/03 10:42,GOOD,GOOD,11.69,Good,161,,,,,,,,,,,,,
24859,79,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,1/27/03,10:52,9,9,FALSE,FALSE,,,T. Manning,64,52,1,0,0,0,2,2,,2,2,,,1/29/03 8:44,GOOD,GOOD,11.69,Good,161,,,,,,,,,,,,,
25159,80,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,2/3/03,8:55,9,9,FALSE,FALSE,,,t larkin,52,56,1,0.01,0,0,2,3,,3,3,,,2/4/03 19:25,GOOD,GOOD,11.45,Good,161,,,,,,,,,,,,,
25589,81,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,2/11/03,9:51,9,9,FALSE,FALSE,,,T. Manning,58,60,1,0.36,0.39,0.39,2,2,,2,3,,,2/13/03 10:15,GOOD,GOOD,9,Good,161,,,,,,,,,,,,,
25818,82,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,2/17/03,9:48,9,9,FALSE,FALSE,,,T.Larkin,66,64,2,0.49,0.49,0.52,2,3,,3,3,,,2/19/03 8:37,GOOD,GOOD,9,Good,161,,,,,,,,,,,,,
26154,83,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,2/24/03,9:21,9,9,FALSE,FALSE,,,T. Maqnning,58,64,1,0,0.96,0.96,2,2,,3,3,,,2/26/03 16:17,GOOD,GOOD,9,Good,161,,,,,,,,,,,,,
26488,84,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,3/3/03,9:16,9,9,FALSE,FALSE,,,t manning,68,70,2,0.9,0.9,1.08,2,3,,3,3,,,3/5/03 17:47,GOOD,GOOD,9,Good,161,,,,,,,,,,,,,
26756,85,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,3/10/03,9:05,9,9,FALSE,FALSE,,,t manning,68,72,2,0.01,0.02,0.08,2,2,,3,3,,,3/11/03 16:38,GOOD,GOOD,9,Good,161,,,,,,,,,,,,,
27090,86,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,3/17/03,8:49,10,20,FALSE,FALSE,,,t manning,72,76,1,4.19,4.19,2.79,2,3,,1,2,,,3/18/03 15:37,GOOD,GOOD,9.19,Good,161,,,,,,,,,,,,,
27516,87,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,3/24/03,8:56,10,9,FALSE,FALSE,,,T. Manning,68,74,1,4.64,0.18,0.03,2,2,,1,2,,,3/25/03 16:51,GOOD,GOOD,9.39,Good,161,,,,,,,,,,,,,
27881,88,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,3/31/03,8:48,10,9,FALSE,FALSE,,,T. Manning,54,68,1,0.17,0.11,0.11,2,3,,1,2,,,4/2/03 12:16,GOOD,GOOD,9.59,Good,161,,,,,,,,,,,,,
28165,89,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,4/7/03,10:23,9,10,FALSE,FALSE,,,T. Larkin,76,73,1,0,0,0,2,2,,3,3,,,4/9/03 8:55,GOOD,GOOD,9.59,Good,161,,,,,,,,,,,,,
28488,90,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,4/14/03,8:51,9,9,FALSE,FALSE,,,T. Manning,69,72,1,0.03,0.03,0,2,3,,3,3,,,4/16/03 8:29,GOOD,GOOD,9.59,Good,161,,,,,,,,,,,,,
28880,91,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,4/21/03,9:34,9,9,FALSE,FALSE,,,t larkin,73,73,1,0.01,0.01,0,2,2,,3,3,,,4/23/03 15:17,GOOD,GOOD,9.39,Good,161,,,,,,,,,,,,,
29142,92,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,4/28/03,9:57,9,9,FALSE,FALSE,,,t larkin,72,75,2,3.59,3.59,0,2,3,,3,3,,,4/30/03 10:39,GOOD,GOOD,9.19,Good,161,,,,,,,,,,,,,
29526,93,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,5/5/03,9:58,40,9,FALSE,FALSE,,,t larkin,79,80,1,0.39,0,0,2,2,,3,3,,,5/8/03 10:52,MODERATE,GOOD,12.13,Good,161,,,,,,,,,,,,,
29772,94,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,5/12/03,9:48,9,9,FALSE,FALSE,,,t larkin,86,86,1,0,0,0,2,1,,2,3,,,5/14/03 17:05,GOOD,GOOD,12.13,Good,161,,,,,,,,,,,,,
30199,95,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,5/19/03,8:44,20,40,FALSE,FALSE,,,t larkin,80,83,1,0.08,0.08,0.06,2,2,,1,3,,,5/22/03 9:43,GOOD,GOOD,14.23,Good,161,,,,,,,,,,,,,
30380,96,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,5/26/03,10:02,9,9,FALSE,FALSE,,,t manning,82,85,1,0,0,1.78,2,2,,3,3,,,5/28/03 15:36,GOOD,GOOD,14.23,Good,161,,,,,,,,,,,,,
30855,97,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,6/3/03,11:09,9,9,FALSE,FALSE,,,t larkin,84,84,1,0,0,0,2,1,,3,3,,,6/5/03 11:49,GOOD,GOOD,14.23,Good,161,,,,,,,,,,,,,
30979,98,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,6/9/03,8:54,9,9,FALSE,FALSE,,,t manning,84,86,1,0.11,0.11,0.25,1,1,,1,1,,,6/10/03 16:54,GOOD,GOOD,10.56,Good,161,,,,,,,,,,,,,
31342,99,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,6/16/03,9:32,20,60,FALSE,FALSE,,,t larkin,79,85,2,0.1,0.45,0.6,2,3,,1,2,,,6/18/03 9:47,GOOD,GOOD,12.39,Good,161,,,,,,,,,,,,,
31615,100,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,6/23/03,9:06,10,9,FALSE,FALSE,,,t manning,78,84,3,0.01,0.06,2.08,2,1,,3,3,,,6/24/03 17:15,GOOD,GOOD,10.78,Good,161,,,,,,,,,,,,,
31991,101,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,6/30/03,8:15,30,9,FALSE,FALSE,,,t larkin,80,84,1,1.07,1.56,1.62,2,1,,1,1,,,7/2/03 8:52,GOOD,GOOD,13.72,Good,161,,,,,,,,,,,,,
32298,102,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,7/7/03,9:27,9,9,FALSE,FALSE,,,t larkin,81,84,1,0.06,0.11,1.67,1,1,,1,3,,,7/8/03 17:03,GOOD,GOOD,13.72,Good,161,,,,,,,,,,,,,
32593,103,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,7/14/03,9:36,10,9,FALSE,FALSE,,,t larkin,82,84,1,0.12,0.79,0.97,2,1,,3,3,,,7/15/03 15:48,GOOD,GOOD,14.01,Good,161,,,,,,,,,,,,,
32947,104,Manatee,Broadway Beach Access (F.K.A. Whitney Beach),10,7/21/03,9:13,9,9,FALSE,FALSE,,,t manning,84,88,1,0,0.37,1.72,1,1,,3,3,,,7/22/03 16:37,GOOD,GOOD,11.94,Good,161,,,,,,,,,,,,,
